Plot 3 2021-06-28T151158668.fcf

,,,,El1.Average,El2.Average,El3.Average
Emissivity,,,,0.30000001192092896,0.30000001192092896,0.30000001192092896
Distance,,,,0.30000001192092896,0.30000001192092896,0.30000001192092896
Reflected temperature,,,,22.9999942779541,22.9999942779541,22.9999942779541
Location X,,,,148,250,351
Location Y,,,,242,244,245
Size X,,,,19,17,17
Size Y,,,,14,14,12
Surface (pixels),,,,199,175,151

Date,Time,Milliseconds,Relative time,El1.Average,El2.Average,El3.Average
28/06/2021,15:12:23,240,24.8,163.489841326996,160.444797014509,160.548662097249
28/06/2021,15:12:23,400,24.96,163.364156905131,160.444546421596,160.532630465678
28/06/2021,15:12:23,560,25.12,163.343198689983,160.427523629325,160.487649677605
28/06/2021,15:12:23,720,25.28,163.434187002517,160.387039010184,160.46151642452
28/06/2021,15:12:23,880,25.44,163.36696275874,160.534478149414,160.599235484142
28/06/2021,15:12:24,040,25.6,163.274235404316,160.350401262556,160.457744775229
28/06/2021,15:12:24,200,25.76,163.291852558078,160.259298444475,160.279433294637
28/06/2021,15:12:24,360,25.92,163.254782441872,160.210331944057,160.359878742142
28/06/2021,15:12:24,520,26.08,163.250005597445,160.298803449358,160.384164165977
28/06/2021,15:12:24,680,26.24,163.111279818281,160.11671081543,160.361329539722
28/06/2021,15:12:24,840,26.4,163.276105104379,160.268329816546,160.197215301312
28/06/2021,15:12:25,000,26.56,163.162331125844,160.205703125,160.298879762359
28/06/2021,15:12:25,160,26.72,163.21795938003,160.315841151646,160.369655280713
28/06/2021,15:12:25,320,26.88,163.349926819154,160.328230678013,160.354791906496
28/06/2021,15:12:25,480,27.04,163.265683428127,160.366003243583,160.30979434386
28/06/2021,15:12:25,640,27.2,163.322017650508,160.325538853237,160.336329175936
28/06/2021,15:12:25,800,27.36,163.264864437544,160.308468540737,160.285044183794
28/06/2021,15:12:25,960,27.52,163.255886748808,160.231459089007,160.178894447175
28/06/2021,15:12:26,120,27.68,163.261337433628,160.242103533064,160.409182011686
28/06/2021,15:12:26,280,27.84,163.252044140993,160.191694597517,160.26436630148
28/06/2021,15:12:26,440,28,163.32603937657,160.334857875279,160.288750755866
28/06/2021,15:12:26,600,28.16,163.393516118802,160.282446114676,160.457987299029
28/06/2021,15:12:26,760,28.32,163.25825193779,160.392223510742,160.393572775733
28/06/2021,15:12:26,920,28.48,163.488337607839,160.393394077846,160.520066621288
28/06/2021,15:12:27,080,28.64,163.402859941799,160.315243530273,160.442511451165
28/06/2021,15:12:27,240,28.8,163.539806346797,160.347946254185,160.450315462832
28/06/2021,15:12:27,400,28.96,163.419871344638,160.287705339704,160.423624202905
28/06/2021,15:12:27,560,29.12,163.495950133357,160.333061697824,160.452088918118
28/06/2021,15:12:27,720,29.28,163.45712840018,160.1996207101,160.41615537934
28/06/2021,15:12:27,880,29.44,163.461590407482,160.202639160156,160.474344923007
28/06/2021,15:12:28,040,29.6,163.349923982093,160.219875662667,160.287187285771
28/06/2021,15:12:28,200,29.76,163.415702168067,160.325428728376,160.425215563237
28/06/2021,15:12:28,360,29.92,163.410211457679,160.274395839146,160.259549475664
28/06/2021,15:12:28,520,30.08,163.33013302597,160.217362670898,160.298232526969
28/06/2021,15:12:28,680,30.24,163.284663751497,160.150792323521,160.054432243701
28/06/2021,15:12:28,840,30.4,163.269036144467,160.043872244699,160.274090394279
28/06/2021,15:12:29,000,30.56,163.275077704808,160.048539515904,160.205380976595
28/06/2021,15:12:29,160,30.72,163.341373309418,160.023614763532,160.294166918622
28/06/2021,15:12:29,320,30.88,163.221570038915,160.034034075056,160.10420368523
28/06/2021,15:12:29,480,31.04,163.059050056803,159.996819283622,160.187131768031
28/06/2021,15:12:29,640,31.2,163.189509329484,160.003253173828,160.017750822156
28/06/2021,15:12:29,800,31.36,163.322943452615,160.063911743164,160.18598281153
28/06/2021,15:12:29,960,31.52,163.153929743935,160.066538696289,160.185065869464
28/06/2021,15:12:30,120,31.68,163.293280520032,160.046434413365,160.228165178109
28/06/2021,15:12:30,280,31.84,163.307148995711,160.107128295898,160.209074411961
28/06/2021,15:12:30,440,32,163.236685748076,160.022675432478,160.179173551648
28/06/2021,15:12:30,600,32.16,163.303286681822,160.095363682338,160.182994817266
28/06/2021,15:12:30,760,32.32,163.229841989488,159.951302664621,160.036106134882
28/06/2021,15:12:30,920,32.48,163.264563709048,160.049179077148,160.207648169915
28/06/2021,15:12:31,080,32.64,163.253341138063,159.946982073103,160.082996797877
28/06/2021,15:12:31,240,32.8,163.188021482535,159.905713239397,160.1907360759
28/06/2021,15:12:31,400,32.96,163.282528057769,159.864702410017,160.110617227112
28/06/2021,15:12:31,560,33.12,163.200285101656,159.957084350586,160.198584348161
